Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6843204,AIR_9,COUNTRY,ALB,EUR,YEAR,Europe,SEX,2019,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,,,,718 [439-936],718.2476,438.88501,936.30804,,2022-08-26T09:25:43+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6848721,AIR_9,UNREGION,15,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,4.57 [3.24-5.98],4.56869,3.23885,5.98168,,2022-09-12T16:32:47+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6849076,AIR_9,UNSDGREGION,UNSDG_WESTERNASIANORTHERNAFR,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,,1 061.48 [840.52-1 294.54],1061.47701,840.52133,1294.54022,,2022-09-12T15:59:02+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6861409,AIR_9,COUNTRY,MRT,AFR,YEAR,Africa,SEX,2019,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,,,780 [395-1 158],779.54552,394.61134,1157.90245,,2022-08-26T09:26:17+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6861502,AIR_9,UNSDGREGION,UNSDG_SUBSAHARANAFRICA,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,12.25 [7.39-17.55],12.25314,7.38863,17.54565,,2022-09-12T15:59:00+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6861810,AIR_9,UNSDGREGION,UNSDG_CENTRALASIASOUTHERNASIA,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,0.37 [0.23-0.52],0.36513,0.23473,0.51895,,2022-09-12T15:58:39+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6867683,AIR_9,UNREGION,15,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,6.32 [3.44-9.65],6.3217,3.44212,9.64556,,2022-09-12T16:32:43+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6867735,AIR_9,UNSDGREGION,UNSDG_EUROPENORTHERNAMR,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,64.92 [27.67-114.63],64.91618,27.67073,114.62868,,2022-09-12T15:58:49+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6867823,AIR_9,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,,,96 [42-169],95.79587,41.62479,168.65813,,2022-08-26T09:25:43+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6867901,AIR_9,COUNTRY,GHA,AFR,YEAR,Africa,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,,,240 [127-386],239.62569,127.17624,386.0465,,2022-08-26T09:26:02+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
