,SpatialDim,ParentLocationCode,TimeDim,Dim2,AirPollDALYs,Low,High
9267,EST,EUR,2018,GHECAUSE_GHE001180,9.52,1.173,27.157
9268,HUN,EUR,2013,GHECAUSE_GHE001130,609.509,378.37,797.506
9269,PNG,WPR,2010,GHECAUSE_GHE001180,1266.955,757.774,1940.386
9273,KIR,WPR,2013,GHECAUSE_GHE000390,1684.967,1358.004,1991.048
9274,KGZ,EUR,2017,GHECAUSE_GHE001180,231.767,100.126,407.518
9275,JPN,WPR,2019,GHECAUSE_GHE001140,60.908,24.297,106.889
9279,HTI,AMR,2016,GHECAUSE_GHE001130,2028.487,1565.538,2454.146
9280,HUN,EUR,2017,GHECAUSE_GHE000680,94.326,50.412,155.668
9282,LBR,AFR,2017,GHECAUSE_GHE001180,276.472,188.756,375.977
9288,STP,AFR,2017,GHECAUSE_GHE000680,238.615,199.626,276.154
9291,GMB,AFR,2011,GHECAUSE_GHE000390,2810.338,2380.072,3184.575
9297,SLE,AFR,2012,GHECAUSE_GHE001180,493.938,337.008,669.942
9299,DEU,EUR,2015,GHECAUSE_GHE000000,395.259,280.045,517.255
9302,RUS,EUR,2015,GHECAUSE_GHE001130,980.638,489.162,1691.407
9307,CHN,WPR,2016,GHECAUSE_GHE000000,2222.164,1741.372,2829.389
9309,PRK,SEAR,2013,GHECAUSE_GHE001140,2022.023,1296.365,2825.091
9313,ARM,EUR,2011,GHECAUSE_GHE000000,2044.886,1537.694,2616.628
9315,LKA,SEAR,2013,GHECAUSE_GHE000000,2436.124,2020.956,2848.576
9318,TJK,EUR,2019,GHECAUSE_GHE000390,782.992,546.357,1038.662
9319,DEU,EUR,2013,GHECAUSE_GHE001130,243.637,146.035,322.545
9323,KAZ,EUR,2017,GHECAUSE_GHE000000,1882.865,1289.56,2702.483
9328,DNK,EUR,2018,GHECAUSE_GHE001130,113.543,64.499,157.031
9333,AFR,,2011,GHECAUSE_GHE001180,422.479,274.292,605.882
9334,MKD,EUR,2019,GHECAUSE_GHE001130,830.894,500.858,1207.369
9338,GIN,AFR,2011,GHECAUSE_GHE000680,45.484,38.244,51.996
9342,TLS,SEAR,2013,GHECAUSE_GHE001130,1142.784,899.618,1349.65
9345,DEU,EUR,2012,GHECAUSE_GHE001180,53.49,14.021,121.623
9347,AUT,EUR,2010,GHECAUSE_GHE001140,60.416,27.917,97.101
9348,IND,SEAR,2016,GHECAUSE_GHE001180,987.672,541.581,1524.7
9359,SLE,AFR,2014,GHECAUSE_GHE001140,1346.302,886.113,1846.595
9362,MOZ,AFR,2014,GHECAUSE_GHE000390,2839.061,2400.205,3258.618
9365,KEN,AFR,2014,GHECAUSE_GHE001140,879.515,561.977,1222.972
9366,SSD,AFR,2013,GHECAUSE_GHE001140,741.934,484.535,1019.434
9367,POL,EUR,2016,GHECAUSE_GHE000390,87.545,49.347,128.229
9368,LBR,AFR,2016,GHECAUSE_GHE001140,814.981,540.15,1122.719
9375,COM,AFR,2013,GHECAUSE_GHE000390,2663.404,2236.247,3061.13
9381,AZE,EUR,2019,GHECAUSE_GHE000390,204.554,108.098,309.873
9384,IRN,EMR,2014,GHECAUSE_GHE000390,194.171,121.178,279.591
9385,PER,AMR,2012,GHECAUSE_GHE001130,311.244,218.545,397.768
9386,GLOBAL,,2012,GHECAUSE_GHE001140,623.83,365.08,935.705
9392,KHM,WPR,2016,GHECAUSE_GHE000680,163.405,125.29,201.445
9408,UZB,EUR,2014,GHECAUSE_GHE000390,470.451,307.719,658.835
9410,GMB,AFR,2019,GHECAUSE_GHE001140,1130.424,739.727,1559.225
9411,JAM,AMR,2013,GHECAUSE_GHE001130,225.508,138.42,309.293
9415,CHL,AMR,2010,GHECAUSE_GHE001130,217.679,139.05,282.0
9421,NOR,EUR,2017,GHECAUSE_GHE000390,8.694,2.08,20.148
9429,COL,AMR,2011,GHECAUSE_GHE001130,374.512,239.115,511.619
9435,AMR,,2016,GHECAUSE_GHE000680,28.053,14.225,47.596
9444,AZE,EUR,2019,GHECAUSE_GHE001140,453.648,209.037,729.858
9448,NER,AFR,2017,GHECAUSE_GHE000000,6604.925,5812.229,7425.292
9449,GRC,EUR,2016,GHECAUSE_GHE001180,47.988,12.674,106.457
9450,BGD,SEAR,2013,GHECAUSE_GHE001130,1040.506,828.645,1220.215
9453,SDN,EMR,2015,GHECAUSE_GHE000390,1092.771,690.559,1431.65
9455,ARG,AMR,2018,GHECAUSE_GHE001140,82.716,32.855,142.375
9456,KIR,WPR,2019,GHECAUSE_GHE000000,7239.208,5708.559,8775.421
9457,UGA,AFR,2012,GHECAUSE_GHE001130,1023.708,821.131,1191.209
9458,FRA,EUR,2019,GHECAUSE_GHE000390,14.665,5.257,27.231
9463,NPL,SEAR,2017,GHECAUSE_GHE001130,1023.198,783.682,1229.851
9464,CMR,AFR,2017,GHECAUSE_GHE000390,3090.981,2545.625,3524.194
9472,LCA,AMR,2019,GHECAUSE_GHE001130,223.633,123.709,330.322
9478,SWZ,AFR,2013,GHECAUSE_GHE001180,722.528,410.068,1139.234
9481,AUT,EUR,2012,GHECAUSE_GHE000390,9.771,4.408,15.957
9482,WPR,,2015,GHECAUSE_GHE000680,245.216,169.614,326.256
9483,JAM,AMR,2015,GHECAUSE_GHE000000,751.054,477.631,1095.224
9485,BLR,EUR,2019,GHECAUSE_GHE001130,1038.42,639.925,1384.814
9493,YEM,EMR,2016,GHECAUSE_GHE000680,48.591,32.1,65.848
9499,LSO,AFR,2014,GHECAUSE_GHE001140,2294.177,1393.778,3297.327
9501,ARE,EMR,2017,GHECAUSE_GHE001180,174.197,71.086,317.286
9502,YEM,EMR,2013,GHECAUSE_GHE001130,2418.726,1702.465,3169.106
9504,HUN,EUR,2017,GHECAUSE_GHE001140,137.729,66.302,217.094
9508,NZL,WPR,2010,GHECAUSE_GHE000680,22.352,10.495,39.87
9510,QAT,EMR,2011,GHECAUSE_GHE001180,110.178,49.236,187.72
9512,CAF,AFR,2014,GHECAUSE_GHE001180,896.864,601.891,1246.614
9513,MUS,AFR,2015,GHECAUSE_GHE000000,769.424,501.596,1098.727
9514,TUN,EMR,2019,GHECAUSE_GHE000680,50.51,25.087,82.083
9519,TJK,EUR,2017,GHECAUSE_GHE000000,4860.236,3655.36,6138.277
9520,ETH,AFR,2018,GHECAUSE_GHE000000,3891.793,3428.578,4335.145
9522,PHL,WPR,2016,GHECAUSE_GHE000680,127.761,92.435,165.834
9524,AFR,,2010,GHECAUSE_GHE001130,1150.722,897.442,1374.66
9534,CUB,AMR,2014,GHECAUSE_GHE001180,89.168,25.269,195.805
9537,JAM,AMR,2019,GHECAUSE_GHE000390,90.102,44.99,140.13
9540,SLE,AFR,2013,GHECAUSE_GHE001130,1696.611,1367.579,1983.587
9543,NAM,AFR,2014,GHECAUSE_GHE001140,846.806,515.33,1232.892
9550,SLE,AFR,2019,GHECAUSE_GHE001140,1331.131,880.4,1831.739
9552,ESP,EUR,2012,GHECAUSE_GHE001180,35.028,8.358,83.082
9553,PRT,EUR,2014,GHECAUSE_GHE000680,15.456,6.963,28.744
9554,BGD,SEAR,2014,GHECAUSE_GHE000680,147.165,118.501,172.271
9555,MWI,AFR,2018,GHECAUSE_GHE001130,914.14,702.244,1077.414
9557,SUR,AMR,2019,GHECAUSE_GHE000680,49.08,19.79,92.59
9558,UZB,EUR,2013,GHECAUSE_GHE000680,65.447,36.696,99.777
9560,VEN,AMR,2018,GHECAUSE_GHE001130,443.086,263.75,624.757
9561,NPL,SEAR,2013,GHECAUSE_GHE001140,591.435,371.965,840.078
9570,ITA,EUR,2010,GHECAUSE_GHE000680,53.958,29.402,85.796
9578,BRN,WPR,2011,GHECAUSE_GHE001130,299.064,164.767,420.013
9579,IRN,EMR,2019,GHECAUSE_GHE000390,165.879,102.88,249.275
9580,LVA,EUR,2014,GHECAUSE_GHE000680,43.435,22.552,71.541
9581,CYP,EUR,2013,GHECAUSE_GHE000000,400.325,288.194,511.423
9582,TON,WPR,2015,GHECAUSE_GHE000000,1654.245,1013.58,2346.208
9583,SWZ,AFR,2015,GHECAUSE_GHE001180,632.059,359.6,1007.32
9585,VCT,AMR,2014,GHECAUSE_GHE001130,381.114,207.764,587.154
9591,CMR,AFR,2011,GHECAUSE_GHE000000,7800.209,6797.342,8776.318
9593,BEN,AFR,2017,GHECAUSE_GHE000680,23.301,19.618,26.615
9596,FRA,EUR,2011,GHECAUSE_GHE000000,282.877,215.327,353.243
9604,CPV,AFR,2015,GHECAUSE_GHE001140,375.388,207.674,592.19
9610,SRB,EUR,2017,GHECAUSE_GHE000680,280.623,172.314,405.27
9611,TJK,EUR,2012,GHECAUSE_GHE001140,1183.001,665.112,1890.675
9612,PRT,EUR,2015,GHECAUSE_GHE000390,28.47,9.204,56.665
9614,SYR,EMR,2018,GHECAUSE_GHE001140,278.662,137.307,474.328
9615,CHN,WPR,2011,GHECAUSE_GHE001140,910.886,522.949,1422.58
9616,GNQ,AFR,2019,GHECAUSE_GHE001130,978.809,669.56,1242.476
9624,GTM,AMR,2015,GHECAUSE_GHE000000,2510.335,2110.791,2908.802
9627,MKD,EUR,2013,GHECAUSE_GHE000000,2352.573,1511.278,3360.72
9631,OMN,EMR,2010,GHECAUSE_GHE001130,1836.769,1210.019,2369.98
9632,BDI,AFR,2012,GHECAUSE_GHE001180,648.944,440.461,890.298
