Id,IndicatorCode,SpatialDim,ParentLocationCode,TimeDim,NumericValue_MDG,Low,High
41506,MDG_0000000007,TUN,EMR,2017,17.914086596,17.570823266,18.259423936
45547,MDG_0000000007,MDV,SEAR,2014,11.991040765,10.333535057,13.752190034
45846,MDG_0000000007,GNQ,AFR,2018,90.487767839,54.839974814,143.901977823
47727,MDG_0000000007,COM,AFR,2014,63.430824448,49.345064477,78.471686105
48062,MDG_0000000007,IDN,SEAR,2013,18.03118471,15.19516242,21.41851854
48420,MDG_0000000007,GAB,AFR,2018,40.163146046,32.212207812,50.947585036
49890,MDG_0000000007,HTI,AMR,2018,46.05326816,34.421003998,62.978950474
50735,MDG_0000000007,SLE,AFR,2013,151.134709658,133.808114604,169.912682735
53373,MDG_0000000007,SWZ,AFR,2012,79.185693335,65.93516159,95.186220774
53503,MDG_0000000007,PNG,WPR,2014,60.16593459,46.540244972,76.256990214
60008,MDG_0000000007,BTN,SEAR,2015,25.647884841,17.326347472,37.990338451
60857,MDG_0000000007,YEM,EMR,2014,32.528110132,26.148100135,40.179581275
61379,MDG_0000000007,NER,AFR,2010,136.523401543,124.387379058,149.884278495
63664,MDG_0000000007,KGZ,EUR,2016,23.966093101,21.102712668,26.921704942
63733,MDG_0000000007,BEN,AFR,2018,59.755148084,50.509071318,70.031437173
63751,MDG_0000000007,GNB,AFR,2010,119.479994064,97.846384786,146.640094002
63882,MDG_0000000007,BOL,AMR,2018,27.82626942,21.279886396,35.979163646
64083,MDG_0000000007,VNM,WPR,2012,17.952636249,15.05507241,20.988552912
65678,MDG_0000000007,BTN,SEAR,2012,38.492996509,28.3602693,51.671268462
70235,MDG_0000000007,PAK,EMR,2019,43.380755124,35.855677538,52.092880831
71801,MDG_0000000007,MLT,EUR,2012,6.789129059,6.190564284,7.461809394
72148,MDG_0000000007,BGD,SEAR,2017,23.876361848,21.286219976,26.702781373
75789,MDG_0000000007,CRI,AMR,2017,8.853105631,8.603494073,9.113664793
77188,MDG_0000000007,BDI,AFR,2018,60.368617915,41.210490851,87.74962477
78557,MDG_0000000007,SMR,EUR,2015,2.029154787,1.17495997,3.522729692
84285,MDG_0000000007,UGA,AFR,2019,56.779171844,41.888980761,76.375883573
84880,MDG_0000000007,SLE,AFR,2011,155.104098674,141.857255783,169.654067536
85637,MDG_0000000007,SUR,AMR,2012,19.459629924,14.315811138,26.284894399
89124,MDG_0000000007,UZB,EUR,2014,17.545509275,13.909962756,21.534222043
89885,MDG_0000000007,MDV,SEAR,2010,15.723511364,13.620205725,18.016571934
92276,MDG_0000000007,FJI,WPR,2018,24.386251407,21.972301679,26.739165164
93875,MDG_0000000007,AGO,AFR,2016,100.529147912,49.266859919,177.62761561
94814,MDG_0000000007,JOR,EMR,2015,16.465422844,14.13579412,19.421892911
95207,MDG_0000000007,BTN,SEAR,2012,34.9608307,26.101020604,45.939217623
101244,MDG_0000000007,GTM,AMR,2011,40.320429316,34.484523972,46.870553632
102232,MDG_0000000007,AGO,AFR,2012,94.308274906,55.818831631,144.627067675
102435,MDG_0000000007,QAT,EMR,2011,8.892949677,8.500256736,9.306446558
102994,MDG_0000000007,LBR,AFR,2016,91.029151991,78.711079064,105.221134395
103687,MDG_0000000007,PRY,AMR,2019,12.11023111,6.006995931,24.762776891
104406,MDG_0000000007,NIC,AMR,2010,14.558641477,11.188105833,18.527590167
106525,MDG_0000000007,KHM,WPR,2017,14.661570313,8.373729764,25.764367306
106680,MDG_0000000007,DOM,AMR,2014,34.971488068,30.138467408,40.302562233
107084,MDG_0000000007,COM,AFR,2012,66.298215466,51.18831507,82.285152543
107469,MDG_0000000007,FJI,WPR,2011,28.179670865,23.1665391,33.332155429
108442,MDG_0000000007,TUV,WPR,2013,19.389772679,12.820777015,28.803788817
110635,MDG_0000000007,SEN,AFR,2012,79.12363656,71.573929731,86.879044887
110705,MDG_0000000007,LBR,AFR,2017,88.656982516,75.315515681,104.490419947
113042,MDG_0000000007,ARG,AMR,2012,13.286322689,13.034061115,13.541317304
113226,MDG_0000000007,PRK,SEAR,2019,17.700214627,13.861532343,22.662612915
114142,MDG_0000000007,TJK,EUR,2015,33.561784346,27.982074311,39.79056426
116104,MDG_0000000007,MAR,EMR,2011,41.819886254,34.024220042,50.311010073
116615,MDG_0000000007,WSM,WPR,2014,20.399892867,16.409341513,25.218741369
116845,MDG_0000000007,DZA,AFR,2010,20.64850086,16.842388444,25.192897308
119625,MDG_0000000007,AGO,AFR,2015,105.259852582,53.207620055,180.114624218
121369,MDG_0000000007,LSO,AFR,2014,60.987062492,50.596582436,72.886089627
121707,MDG_0000000007,COD,AFR,2019,88.29926159,57.129694949,133.690513771
121882,MDG_0000000007,IRQ,EMR,2017,29.924298726,23.590439364,37.918352544
122856,MDG_0000000007,THA,SEAR,2010,8.946200391,6.520962477,11.99878989
124093,MDG_0000000007,CPV,AFR,2019,14.120891921,13.374923884,14.918380365
125369,MDG_0000000007,CIV,AFR,2014,113.039918207,99.856259425,127.408859635
126882,MDG_0000000007,IND,SEAR,2013,73.319897439,68.330671364,78.659504294
127359,MDG_0000000007,BEN,AFR,2010,71.698450379,62.891632062,81.512853823
129382,MDG_0000000007,SLV,AMR,2017,14.75613445,10.369230867,21.21810987
130148,MDG_0000000007,WPR,,2011,16.761625867,16.07395554,17.47753484
130196,MDG_0000000007,WPR,,2015,13.586077568,13.013554855,14.230758208
130239,MDG_0000000007,KIR,WPR,2011,74.315370052,58.227684066,93.748655458
130743,MDG_0000000007,SWZ,AFR,2017,56.458717178,43.237646795,74.696340418
131706,MDG_0000000007,UNICEFREGIONEECA,,2015,13.750255542,13.305592018,14.229469428
133095,MDG_0000000007,TJK,EUR,2011,34.688764665,29.947158423,39.674884556
133713,MDG_0000000007,CMR,AFR,2011,140.50816944,124.498359626,158.434600067
135358,MDG_0000000007,IND,SEAR,2011,55.032722084,52.53702652,57.78864075
135921,MDG_0000000007,SUR,AMR,2014,15.187322344,10.162964694,22.671202613
139642,MDG_0000000007,KAZ,EUR,2010,22.725441816,19.991362354,25.542309418
139936,MDG_0000000007,GNQ,AFR,2015,79.469183044,52.509238996,116.718600184
140231,MDG_0000000007,UNICEFREGIONWE,,2017,3.928706522,3.903468608,3.957307783
140453,MDG_0000000007,SLV,AMR,2014,15.172415101,11.55679923,19.629234907
150132,MDG_0000000007,ZMB,AFR,2011,84.050607849,74.811791852,94.242662278
151073,MDG_0000000007,MSR,AMR,2014,8.69115836,3.998759561,19.334792681
151329,MDG_0000000007,SLE,AFR,2014,149.663872076,131.620801035,169.368577032
153439,MDG_0000000007,GNB,AFR,2010,130.116082399,103.808985206,161.928311262
156757,MDG_0000000007,KEN,AFR,2013,46.692476981,41.168334139,53.18351626
156832,MDG_0000000007,CIV,AFR,2018,99.714339839,85.965852681,115.360752367
156905,MDG_0000000007,BFA,AFR,2018,91.230228758,69.736463076,120.296967715
157842,MDG_0000000007,LBY,EMR,2017,12.353419357,8.426960988,18.081175899
158439,MDG_0000000007,BLR,EUR,2019,2.139100946,1.566552325,2.842115887
160726,MDG_0000000007,GNQ,AFR,2016,89.889313661,58.48227873,133.122141551
160916,MDG_0000000007,GTM,AMR,2010,30.074275575,25.24428297,35.375549325
161829,MDG_0000000007,PNG,WPR,2018,47.24272759,34.808286332,63.133953781
163076,MDG_0000000007,TUR,EUR,2014,21.412574623,17.996830212,24.968640835
164746,MDG_0000000007,KEN,AFR,2013,50.075404005,45.198773724,55.495391717
164917,MDG_0000000007,JOR,EMR,2019,14.807421513,11.920294668,18.938702243
167735,MDG_0000000007,KHM,WPR,2019,30.621697321,16.477798727,57.042064741
169212,MDG_0000000007,LSO,AFR,2015,78.213759487,68.959237268,88.573164949
171512,MDG_0000000007,HTI,AMR,2016,63.985873043,51.514526609,81.245917665
174784,MDG_0000000007,ALB,EUR,2013,10.541604598,9.520917876,11.558780396
175355,MDG_0000000007,JOR,EMR,2011,20.07802753,17.080435777,23.606949093
176301,MDG_0000000007,AZE,EUR,2019,14.926967869,9.976508734,21.955214959
176805,MDG_0000000007,COD,AFR,2017,55.457233775,37.27424573,80.669099967
176931,MDG_0000000007,LKA,SEAR,2011,12.030466003,10.413303441,13.709338166
179720,MDG_0000000007,AGO,AFR,2019,76.969205316,34.767286272,144.585032629
181177,MDG_0000000007,KGZ,EUR,2019,12.929299316,10.461822151,15.786304107
181388,MDG_0000000007,SWZ,AFR,2016,57.404512336,44.958008573,74.026779172
183904,MDG_0000000007,ARG,AMR,2012,14.595079529,12.703660784,16.593740681
184735,MDG_0000000007,KEN,AFR,2018,41.432662446,35.952679174,47.772135819
184786,MDG_0000000007,AFG,EMR,2018,65.429899369,55.407029256,76.13181651
187432,MDG_0000000007,UGA,AFR,2010,76.351192191,69.173008664,84.065344989
